date,2015-19 range,2015-19 avg cancer deaths,2020-21 cancer deaths,total change,percent total change
05-Jan-20,847|906,868,849,-19,-2.19
12-Jan-20,817|917,869,899,30,3.45
19-Jan-20,853|915,874,912,38,4.35
26-Jan-20,806|942,870,931,61,7.01
02-Feb-20,762|933,864,830,-34,-3.94
09-Feb-20,829|947,858,927,69,8.04
16-Feb-20,820|883,858,935,77,8.97
23-Feb-20,827|950,892,939,47,5.27
01-Mar-20,882|962,906,956,50,5.52
08-Mar-20,890|927,906,888,-18,-1.99
15-Mar-20,817|954,871,898,27,3.1
22-Mar-20,861|940,884,947,63,7.13
29-Mar-20,847|917,881,897,16,1.82
05-Apr-20,786|897,868,967,99,11.41
12-Apr-20,843|927,881,923,42,4.77
19-Apr-20,864|937,897,884,-13,-1.45
26-Apr-20,812|931,862,907,45,5.22
03-May-20,858|894,876,857,-19,-2.17
10-May-20,859|935,898,985,87,9.69
17-May-20,830|921,875,924,49,5.6
24-May-20,852|959,911,884,-27,-2.96
31-May-20,848|946,903,934,31,3.43
07-Jun-20,895|938,913,922,9,0.99
14-Jun-20,841|974,885,888,3,0.34
21-Jun-20,838|923,881,899,18,2.04
28-Jun-20,858|994,909,876,-33,-3.63
05-Jul-20,890|955,921,924,3,0.33
12-Jul-20,845|923,881,966,85,9.65
19-Jul-20,803|932,889,949,60,6.75
26-Jul-20,854|936,900,894,-6,-0.67
02-Aug-20,850|942,892,949,57,6.39
09-Aug-20,815|948,889,921,32,3.6
16-Aug-20,886|931,903,905,2,0.22
23-Aug-20,838|910,884,900,16,1.81
30-Aug-20,859|968,919,881,-38,-4.13
06-Sep-20,837|925,882,938,56,6.35
13-Sep-20,840|921,881,941,60,6.81
20-Sep-20,823|910,872,860,-12,-1.38
27-Sep-20,823|910,859,899,40,4.66
04-Oct-20,836|925,883,980,97,10.99
11-Oct-20,844|915,872,918,46,5.28
18-Oct-20,857|921,888,913,25,2.82
25-Oct-20,820|906,869,913,44,5.06
01-Nov-20,848|912,884,916,32,3.62
08-Nov-20,835|920,873,960,87,9.97
15-Nov-20,826|932,871,944,73,8.38
22-Nov-20,865|922,893,948,55,6.16
29-Nov-20,828|913,874,870,-4,-0.46
06-Dec-20,824|926,876,968,92,10.5
13-Dec-20,874|939,892,908,16,1.79
20-Dec-20,842|913,880,930,50,5.68
27-Dec-20,803|901,858,927,69,8.04
03-Jan-21,803|901,858,900,42,4.9
10-Jan-21,847|906,868,922,54,6.22
17-Jan-21,817|917,869,897,28,3.22
24-Jan-21,853|915,874,917,43,4.92
31-Jan-21,806|942,870,894,24,2.76
07-Feb-21,762|933,864,926,62,7.18
14-Feb-21,829|947,858,914,56,6.53
21-Feb-21,820|883,858,907,49,5.71
28-Feb-21,827|950,892,948,56,6.28
