date,2015-19 range,2015-19 cerebrovascular disease deaths,2020-21 cerebrovascular disease deaths,total change,percent total change
05-Jan-20,159|200,182,139,-43,-23.63
12-Jan-20,162|190,178,166,-12,-6.74
19-Jan-20,144|179,167,141,-26,-15.57
26-Jan-20,165|203,176,159,-17,-9.66
02-Feb-20,156|175,168,162,-6,-3.57
09-Feb-20,146|186,165,165,0,0.0
16-Feb-20,152|190,170,164,-6,-3.53
23-Feb-20,159|187,175,147,-28,-16.0
01-Mar-20,150|194,165,158,-7,-4.24
08-Mar-20,162|189,173,156,-17,-9.83
15-Mar-20,166|203,183,162,-21,-11.48
22-Mar-20,151|200,176,148,-28,-15.91
29-Mar-20,155|196,170,171,1,0.59
05-Apr-20,154|201,179,187,8,4.47
12-Apr-20,174|189,182,199,17,9.34
19-Apr-20,181|195,187,172,-15,-8.02
26-Apr-20,169|195,185,164,-21,-11.35
03-May-20,175|207,185,175,-10,-5.41
10-May-20,179|232,199,190,-9,-4.52
17-May-20,176|207,197,180,-17,-8.63
24-May-20,184|210,197,211,14,7.11
31-May-20,183|251,211,190,-21,-9.95
07-Jun-20,177|226,200,159,-41,-20.5
14-Jun-20,183|217,194,207,13,6.7
21-Jun-20,183|226,212,190,-22,-10.38
28-Jun-20,194|211,202,179,-23,-11.39
05-Jul-20,178|212,193,183,-10,-5.18
12-Jul-20,179|214,203,157,-46,-22.66
19-Jul-20,167|241,208,176,-32,-15.38
26-Jul-20,189|223,206,176,-30,-14.56
02-Aug-20,162|219,200,177,-23,-11.5
09-Aug-20,185|219,203,197,-6,-2.96
16-Aug-20,206|227,219,196,-23,-10.5
23-Aug-20,209|226,216,188,-28,-12.96
30-Aug-20,194|227,212,159,-53,-25.0
06-Sep-20,183|211,202,181,-21,-10.4
13-Sep-20,174|239,202,186,-16,-7.92
20-Sep-20,171|212,199,154,-45,-22.61
27-Sep-20,150|225,193,180,-13,-6.74
04-Oct-20,154|217,182,187,5,2.75
11-Oct-20,172|189,182,188,6,3.3
18-Oct-20,171|196,184,169,-15,-8.15
25-Oct-20,177|200,187,159,-28,-14.97
01-Nov-20,170|190,179,180,1,0.56
08-Nov-20,145|195,167,171,4,2.4
15-Nov-20,155|181,166,179,13,7.83
22-Nov-20,156|191,176,148,-28,-15.91
29-Nov-20,166|174,169,165,-4,-2.37
06-Dec-20,159|191,173,155,-18,-10.4
13-Dec-20,169|194,181,174,-7,-3.87
20-Dec-20,163|185,174,137,-37,-21.26
27-Dec-20,153|189,168,154,-14,-8.33
03-Jan-21,153|189,168,179,11,6.55
10-Jan-21,159|200,182,172,-10,-5.49
17-Jan-21,162|190,178,149,-29,-16.29
24-Jan-21,144|179,167,166,-1,-0.6
31-Jan-21,165|203,176,156,-20,-11.36
07-Feb-21,156|175,168,165,-3,-1.79
14-Feb-21,146|186,165,159,-6,-3.64
21-Feb-21,152|190,170,174,4,2.35
28-Feb-21,159|187,175,164,-11,-6.29
