date,2015-19 range,2015-19 avg respiratory disease deaths,2020-21 respiratory disease deaths,total change,percent total change
05-Jan-20,215|263,233,240,7,3.0
12-Jan-20,203|251,220,240,20,9.09
19-Jan-20,193|233,206,222,16,7.77
26-Jan-20,197|242,218,242,24,11.01
02-Feb-20,200|229,219,226,7,3.2
09-Feb-20,190|231,212,206,-6,-2.83
16-Feb-20,198|253,216,226,10,4.63
23-Feb-20,175|241,206,220,14,6.8
01-Mar-20,168|239,213,265,52,24.41
08-Mar-20,195|227,213,231,18,8.45
15-Mar-20,167|242,201,214,13,6.47
22-Mar-20,189|227,215,262,47,21.86
29-Mar-20,206|246,224,284,60,26.79
05-Apr-20,215|243,229,273,44,19.21
12-Apr-20,209|254,224,239,15,6.7
19-Apr-20,211|274,235,225,-10,-4.26
26-Apr-20,215|256,234,202,-32,-13.68
03-May-20,206|270,241,235,-6,-2.49
10-May-20,251|301,264,228,-36,-13.64
17-May-20,236|277,261,234,-27,-10.34
24-May-20,246|316,280,247,-33,-11.79
31-May-20,237|345,284,233,-51,-17.96
07-Jun-20,225|341,286,243,-43,-15.03
14-Jun-20,257|361,294,225,-69,-23.47
21-Jun-20,245|370,297,229,-68,-22.9
28-Jun-20,280|310,290,211,-79,-27.24
05-Jul-20,280|382,319,235,-84,-26.33
12-Jul-20,270|378,329,258,-71,-21.58
19-Jul-20,310|402,342,220,-122,-35.67
26-Jul-20,319|415,359,228,-131,-36.49
02-Aug-20,269|453,368,215,-153,-41.58
09-Aug-20,276|522,375,271,-104,-27.73
16-Aug-20,317|473,374,240,-134,-35.83
23-Aug-20,335|515,408,217,-191,-46.81
30-Aug-20,350|533,409,241,-168,-41.08
06-Sep-20,309|509,385,242,-143,-37.14
13-Sep-20,276|517,372,254,-118,-31.72
20-Sep-20,317|490,376,233,-143,-38.03
27-Sep-20,315|415,344,252,-92,-26.74
04-Oct-20,282|361,320,217,-103,-32.19
11-Oct-20,301|378,322,218,-104,-32.3
18-Oct-20,282|307,291,200,-91,-31.27
25-Oct-20,227|291,258,204,-54,-20.93
01-Nov-20,237|279,261,208,-53,-20.31
08-Nov-20,212|316,256,213,-43,-16.8
15-Nov-20,205|275,247,212,-35,-14.17
22-Nov-20,224|277,245,208,-37,-15.1
29-Nov-20,219|274,235,209,-26,-11.06
06-Dec-20,202|234,217,243,26,11.98
13-Dec-20,196|267,231,218,-13,-5.63
20-Dec-20,214|243,233,211,-22,-9.44
27-Dec-20,206|244,227,222,-5,-2.2
03-Jan-21,206|244,227,241,14,6.17
10-Jan-21,215|263,233,221,-12,-5.15
17-Jan-21,203|251,220,210,-10,-4.55
24-Jan-21,193|233,206,224,18,8.74
31-Jan-21,197|242,218,211,-7,-3.21
07-Feb-21,200|229,219,231,12,5.48
14-Feb-21,190|231,212,199,-13,-6.13
21-Feb-21,198|253,216,197,-19,-8.8
28-Feb-21,175|241,206,226,20,9.71
